Date,Company SEDOL,return,abs_return,severity,reason,review_status,suggested_action,reviewer,review_notes,approved_action,corrected_return
2024-09-11,X32NYV-R,1.0014533996582031,1.0014533996582031,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-11-01,J5RFMZ-R,1.00138258934021,1.00138258934021,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2020-01-29,J3VSJP-R,1.0013225078582764,1.0013225078582764,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2023-11-27,K8YRNT-R,1.0012803077697754,1.0012803077697754,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2009-02-17,KNCH9S-R,1.0012202262878418,1.0012202262878418,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-05-29,MBLWWK-R,1.0011332035064697,1.0011332035064697,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-05-21,T7HRLL-R,1.0009210109710693,1.0009210109710693,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2017-05-02,H46TW9-R,1.0009140968322754,1.0009140968322754,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-10-08,K4MV84-R,1.0009114742279053,1.0009114742279053,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-08-07,L5W163-R,1.0006883144378662,1.0006883144378662,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2008-01-29,KB97SR-R,1.0006067752838135,1.0006067752838135,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2018-12-31,BBD288-R,1.0005247592926025,1.0005247592926025,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-03-18,T7HRLL-R,1.0004594326019287,1.0004594326019287,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2021-10-11,GKYKWV-R,1.0002591609954834,1.0002591609954834,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2009-12-22,JMKHTG-R,1.0002074241638184,1.0002074241638184,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2020-08-11,T7HRLL-R,1.0001699924468994,1.0001699924468994,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2023-12-18,T7HRLL-R,1.000091552734375,1.000091552734375,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2007-11-07,JS8Z4X-R,1.00009024143219,1.00009024143219,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2008-10-30,QG6G5W-R,1.000077724456787,1.000077724456787,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
